In-TC-vs-Ex-TC	In-TC-vs-QY	Ex-TC-vs-QY
CARHSP1	WFDC2	
HBZ	WFDC8	
LOC121106810	SPINT4	
CCNF	LOC771994	
ACSM4	UBE2U	
ERI2	NPEPL1	
CDC45	ESPN	
RIMBP2	RERE	
AACS	RNF186	
ATP2A2	CAMK2N1	
P2RX7	CELA2A	
LOC416959	MTHFR	
PISD	DRAXIN	
CIT	EPHB2	
SLC35E4	DPYSL2	
TCN2	EGR3	
MHCY9	MTHFD2	
BTN3A3L1	NCAPH	
KIFC1	FABP3	
IL4I1	SERINC2	
TRIM7.1	GBP1	
BLB1	STMN1	
DMA	PAQR7	
DMB2	IFI27L2	
BF1	LCK	
TAP1	GRHL3	
CYP21A1	IL22RA1	
EXFABP	CHEK1	
NSMF	KCNJ5	
AK1	SCN3B	
LOC417192	GRAMD1B	
ASS1	TAGLN	
LAMC3	MPZL3	
FAM69B	MPZL2	
AGPAT2	HYOU1	
LOC417113	LOC121107551	
HSPA5	LOC101747704	
MVB12B	LOC107057474	
PIK3R5	PEAR1	
MXRA7	SLAMF1	
ST6GALNAC1	LOC100857714	
SMIM5	S100A6	
MYO15L	CKS1B	
FASN	FDPS	
TRIM25	LOC121107589	
KPNA2	CRP	
CACNG1	TAGLN2	
SDK2	LOC121107545	
RNF213	ELF3	
CBX2	CSRP1	
RBFOX3	UBE2T	
ENPP7	KCNA3	
LOC121107135	NUAK2	
TIMP2	SLC26A9	
SOCS3	C1orf186	
TK1	RAB7B	
LOC100857706	FAM72A	
ARL16	LAMB3	
KRABZFP	G0S2	
OTOP3	WNT2B	
CCL4	MOV10	
MIS12	OLFML3	
MMP28	PACSIN1	
LOC121106433	LOC768786	
SEBOX	MRC2	
SLC13A2	COL1A1	
SPAG5	SLC35B1	
CORO6	TBX21	
GSG2	IKZF3	
DOC2B	CSF3	
PRR11	RARA	
VMP1	TOP2A	
ACACA	CCR7	
C17orf78	KRT40	
TADA2A	KRT24	
DUSP14	KRT10	
EVI2A	HSPB9	
LOC100857331	LOC101750889	
FAM64A	LOC100857333	
FBXO39	ANGPTL4	
TEKT1	LOC100857637	
LOC107057310	NMRK2	
TOX2	ACSBG2	
ACSS2	ZAP70	
FAM83D	MEX3D	
RPN2	PLIN5	
RBPJL	LRG1	
PI3	MIDN	
TTPAL	LOC112530455	
RPESL	LOC420107	
ZNFX1	LOC107055361	
COL20A1	TMEM221	
HELZ2	LOC121107774	
SLC52A3	CALR	
TPX2	CD163	
IRF9	LOC101751153	
BPIFB3	CHIR-AB1	
LOC771972	LOC112531107	
LOC100859272	LOC121107843	
WFDC2	LOC112531095	
WFDC8	LOC107049967	
SPINT4	LOC431060	
LOC771994	CHIR-AB-600	
UBE2U	LOC107050473	
MMP9	LOC121107883	
AURKB	FKBP11	
ESPN	LOC107049666	
AJAP1	STAT2	
CENPS	APOF	
RNF186	INHBE	
CAMK2N1	KRT7	
CELA2A	LOC121108105	
DRAXIN	LOC426220	
EPHB2	LOC121108210	
P3H1	ENHO	
DPYSL2	ARID3C	
CDCA2	CCL19	
EGR3	LOC100857191	
NCAPH	AVD	
FABP3	NPR3	
SERINC2	HMGCR	
GBP1	ARHGEF28	
THEMIS2	GLDC	
STMN1	HACD4	
PAQR7	GADD45G	
CSF3R	SHB	
CLSPN	PCGF3	
IFI27L2	MFSD7	
GRHL3	KIAA1958	
IL22RA1	SMC2	
CHEK1	LPAR1	
NCAPD3	CDKN2A	
SCN3B	CDKN2B	
CRTAM	TRIM36	
JAML	LOC107050717	
MPZL2	CHIR-IG1-5	
HYOU1	CDIPT	
IL18	LOC121108736	
DIXDC1	LOC121108764	
LOC101749531	LOC107057287	
CD244	LOC121108786	
CD48	LOC121108875	
SLAMF1	LOC107051395	
CKS1B		
ECM1		
LOC121107543		
LOC121107545		
ELF3		
CSRP1		
TMEM9		
LOC395100		
UBE2T		
KCNA3		
NUAK2		
SLC26A9		
FAM72A		
CAMK1G		
LAMB3		
G0S2		
MOV10		
PACSIN1		
ITPR3		
CHIA-M31		
LOC768786		
FMOD		
GTSF1		
KIF18B		
GH		
MRC2		
SRCIN1		
CSF3		
CDC6		
RARA		
TOP2A		
CCR7		
BRCA1		
ANGPTL4		
LOC100857637		
CELF5		
NMRK2		
ACSBG2		
MEX3D		
LRG1		
MIDN		
LOC420107		
LOC107055361		
LOC121107782		
LOC121107774		
LIG1		
LOC112531052		
LOC101751153		
LOC427029		
LOC107050189		
CHIR-B6		
LOC112529946		
LOC107049967		
LOC100857597		
LOC107050473		
LOC121107883		
LOC112531328		
LOC107056248		
FKBP11		
RACGAP1		
ESPL1		
LOC107049666		
LOC107049862		
LOC100859737		
TUBA1A		
CNPY2		
STAT2		
APOF		
TIMELESS		
INHBE		
LOC107049257		
LOC112531456		
SPIN1L		
IFNW1		
ENHO		
ARID3C		
CCL19		
LOC100857191		
FANCG		
AVD		
NPR3		
CENPK		
SGTB		
VLDLR		
CD274		
LOC112532140		
ZNF367		
GADD45G		
ADAMTS19		
ST8SIA4		
PCGF3		
MFSD7		
CHRNA6		
LMNB1		
KIAA1958		
SMC2		
LPAR1		
CDKN2A		
CDKN2B		
LOC107050717		
CHIR-IG1-5		
CDIPT		
PRODH2		
PKMYT1		
LOC112530947		
LOC121108875		
LOC121108907		
LOC107051395		
LOC121108911		
LOC107049485		
FLNA		
LOC107049632		
ZFPL1		
