Name	In_TC1	In_TC4	In_TC6	In_TC8	QY1	QY2	QY4	QY5
Inositol	99646071.33	103591420.6	33485108.87	41118385.94	2204079.326	3937464.414	4981056.572	5274056.2
ACar 15:1	1591037.132	3572017.626	2120608.409	3115280.942	3803297.565	2470423.949	5481293.601	2383860.227
5-(tert-butyl)-2-methyl-N-(5-methyl-3-isoxazolyl)-3-furamide	7361815.137	11240207.34	3557459.837	2132275.944	801361.7798	1240498.184	2297047.305	2549335.044
N1-(2-methyl-3-nitrophenyl)cyclohexane-1-carboxamide	3217105.3	3073032.131	12196611.65	4866766.509	78877850.49	65601368.58	1101688.181	9313196.302
1-butyl-2-methyl-4-nitro-1H-imidazole	2926815.383	1578941.038	4510432.651	2109650.849	14496601.75	15769768.72	3415362.689	2131018.582
"6,6-dimethyl-4-piperidino-5,6-dihydro-2H-thiine-2-thione"	18018975.33	4715891.647	19753661.31	11469079.33	5213895.162	6044100.851	1760376.484	2002205.687
"N-(2-morpholinophenyl)-2,1,3-benzoxadiazole-4-sulfonamide"	2499352.658	658018.5606	4546909.176	1175055.385	3788040.633	3240786.832	2914259.651	1140263.85
Polygalic acid	21535092.47	6890066.842	19704632.35	2664772.38	5692643.967	1920001.141	9563550.269	3258829.145
Gallic acid trimethyl ether	1358460.643	450693.6745	4398953.551	2743943.094	2245975.509	2199305.267	2383591.77	702461.1291
Deoxyguanosine	9567087.414	3526393.128	152731591.2	6396738.289	227554.1704	259039.6412	41131024.11	614463.6025
Nonadecanoic acid	8153274.041	5062174.08	585521.5949	1315543.225	62055.2301	27369.29307	51819.63343	114664.1673
ACar 20:4	796107.1428	11095302.27	474626.168	190730.7298	1034037.311	432663.8796	675395.8981	729155.5614
"2-(3,4-dihydroxyphenyl)acetamide"	957545.19	789775.6458	5142478.378	17479591.81	2139530.327	1166202.547	1113488.985	1429225.143
DLK	22220205.34	7923295.221	6998987.168	4652433.65	2186751.047	1935490.328	2560206.423	4730835.306
Xanthohumol	8142668.427	1146225.034	5551806.031	1352323.068	387178.2298	329961.5387	303544.2225	337610.6545
"(2E,4E)-N-(2-methylpropyl)dodeca-2,4-dienamide"	91434240.13	200664084.6	298910930.1	335119749.4	76856082.67	241860046.4	237648371.3	400806542
"N,N-Dimethylsphingosine"	15341977.63	8662592.424	19426448.73	7029773.719	1473785.225	1890186.547	1282441.303	4084071.177
methyl {[(2-oxo-2H-pyran-6-yl)carbonyl]amino}methanethioate	3561421.855	3040075.455	6035829.218	14887612.34	30179020.53	64985322.17	6083685.06	1653433.115
Ginkgolic acid C17-1	140134377.7	49876554.85	27711171.12	7655824.395	7000615049	45448607.35	34533914.65	6339972277
D-Phenylalanine	10941493.5	5912595.858	15763339.94	11131732.04	6062662.309	3462377.367	5067633.081	6859174.289
Porphobilinogen	8686717.265	6328550.412	10796514.87	9308141.357	30177505.61	7629931.889	1079228.658	1459315.336
2-Aminoadipic acid	3104989.852	1616232.443	9264566.859	4001802.044	17559483.89	11354480.99	8964194.533	3734474.445
Methyl 4-hydroxy-3-methoxycinnamate	1882518.224	354408.869	3290255.201	1651491.686	1863534.187	1019474.134	4875465.346	1400894.377
Phe-Phe	5217706.454	3504004.711	17614910.02	3768842.615	8080295.976	7556238.235	12753745.7	21304994.65
"3-hydroxy-1,5-diphenylpentan-1-one"	44645662.05	78874301.14	68745306.74	369122321.7	1019728435	4350035286	41811306.62	25601466.25
LPE 16:3	2045402.378	10741620.6	2669274.893	2226207.11	648289.7711	397550.3286	582619.4164	442961.7485
L-cysteine	21538661.25	5650012.718	8190345.719	7169123.727	8055034.691	3117808.347	1456884.246	5022130.109
Glycerol-3-phosphate	4789454.256	1627306.416	1311354.888	1143624.29	972698.5985	1914123.464	1914260.306	735184.8414
N-Acetylhistamine	14054006.78	7979689.726	31576348.59	15646462.17	36922398.77	83402479.78	11397064.76	165022667.9
benzoylecgonine-d3	3254614.86	3034152.904	6782991.977	27712374.45	93062119.11	292080990.4	2413519.06	8981307.937
Aldosterone	7263205.079	4841888.527	2485641.409	931294.7376	164057.121	76346.11277	110645.9411	111990.5673
4-(pentyloxy)benzene-1-carbohydrazide	11488544.59	434996.9912	18742297.12	6233166.665	1065838.082	1058094.021	3217967.994	476962.019
3-(2-Naphthyl)-D-Alanine	18246464.38	2839947.614	18673191.93	13952820.38	908338.6111	1163432.665	1108155.91	529045.347
L(-)-Carnitine	415190403	160992080.6	127668664.6	208213729.2	18525780.98	107275535.5	102419180.1	30736747.65
4-Methoxycinnamic Acid	21081557.58	3591436.953	16150274.72	6194329.044	4396124.106	5432281.807	2435610.001	3958581.883
Mannitol	3709047.606	1920440.147	7465419.78	3952052.23	5380571.557	11589962.07	15790612.61	2570992.316
Tomatidin	17201490.46	2026796.244	18564700.82	9016887.301	785967.0007	925192.6739	660605.6701	667625.222
5-oxoproline	6522840.104	3842943.406	6220241.577	6694536.659	1749189.523	1459597.185	1944923.108	1305787.355
6-Methylnicotinamide	10594770.57	10898926	25596338.58	13981167.03	35228045.68	81162131.27	7710654.534	161793990.8
2-acetamido-3-(4-methoxyphenyl)propanoic acid	32294225.61	75597197.71	50964931.24	359208740.1	996055441.9	4292378221	36770417.2	21568182.64
3'-Dephospho-CoA	656263.061	445143.8227	843350.0252	735394.7632	1012121.366	913772.3468	961412.1446	801463.9212
Propionyl-L-carnitine	3907799.686	3511517.288	8454659.141	12251030.28	5281210.181	3975932.448	3776227.374	4844435.7
Palmitoleic Acid	1275571.279	4711125.71	710440.9741	308416.3771	815271.9741	446450.6387	1382587.883	1474455.711
8-amino-5-hydroxy-4-iminonaphthalen-1-one	2632207.161	783981.6099	6925578.893	391161.1353	6423277.024	4563776.376	4408826.759	2897210.558
Prostaglandin E2	5355093.488	3388266.538	6939017.254	2588339.453	302364.7961	260935.3555	409714.2081	397584.689
Taurocholic acid	982979.5913	8887329.468	1859688.518	1801483.692	4074029.823	4751865.681	10577724.17	6462569.092
(±)8(9)-DiHET	7047156.09	2634662.317	1214777.624	6546778.742	48431.16643	36570.34939	486157.2593	168458.1215
2-Hydroxy-2-methylbutanoic acid	1432756.863	1129114.357	2252414.128	2719247.36	3169771.751	2722605.532	5503445.532	2049696.804
methyl 2-[(2-acetyl-3-oxo-1-butenyl)amino]acetate	7443191.14	2198463.091	18042830.76	13585221.48	7742993.704	7580723.68	2569803.616	1113695.531
FAHFA (16:1/18:3)	3758813.154	4484695.456	1433239.983	1481387.236	345181.0472	1019929.086	5442999.355	3008591.549
Lysope 14:0	869283.2266	10131558.71	1009508.391	442799.5241	193651.7354	92592.86841	162862.0997	125810.5043
LPC 20:4	37992427.16	96979041.1	57143186.84	13668568.63	292297.3953	717939.5828	7006029.288	380376.2351
Cyanidin	3016307.674	1009027.764	1488198.902	257300.2687	660490.4453	421766.3679	2608865.32	275506.4303
"3-(4-nitrophenyl)[1,2,3]triazolo[1,5-a]quinazolin-5-amine"	11399235.94	3191376.718	17710544.15	9748178.221	226240.168	209302.1966	300295.5232	204835.8455
LPE 22:1	4073046.821	4510531.971	827592.7376	557173.123	98091.7399	40696.05325	57677.10149	65292.80512
Itaconic acid	57900760.68	24476573.54	112409749.8	135312255.2	8715840.944	13175511.44	10830362.19	9100402.778
Norbutorphanol	94869088.27	132720780.6	112500414.2	31283837.43	31366491.78	20362030.17	325336320.5	96264893.9
Cuminaldehyde	38962105.47	7381339.058	158635520.8	23615569.65	68155403.99	4025669.625	8843953.911	58289928.49
LPE 18:1	1215787379	1353171116	474140656.7	22675334.98	59758059.75	54243399.56	142447227.9	73974630.95
DL-Panthenol	4626103.474	1940996.738	6096465.331	3629920.806	8565667.239	14078910.07	1700804.544	5951784.208
(+/-)-Cannabichromeorcin	7369175.138	1886365.543	5585878.73	15721205.17	1713986.604	985763.1295	1826573.911	1353216.483
"1,3-dimethyl 2,4-bis(4-hydroxyphenyl)cyclobutane-1,3-dicarboxylate"	20067710.91	3168989.878	14042774.01	5800313.733	2537689.045	3821012.794	1178505.45	2939576.565
Cystine	12037889.35	9958035.229	2363470.561	3117106.82	2981707.642	2704455.748	1055389.022	1126069.358
2-Methylbutyroylcarnitine	8012649.852	2421177.931	5989881.391	2169719.404	4670473.553	13995280.26	2434026.449	717575.6538
Phenylpropiolic acid	348522209.2	194925394.6	258679970.4	229684606.2	15148142.55	4669884.313	91445636.07	18117607.52
VLK	13638751.06	8450909.134	15952014.9	4465670.794	4983020.937	1182799.425	16246198.17	16901382.94
Oleoyl ethanolamide	104706053.5	67474564.86	293708932.3	76483098.79	71644912.08	64835014.29	203649951.6	90825285.1
Ranitidine HCl	1069970.65	519087.8945	1032383.001	546342.1351	530744.1492	576239.9249	16152626.65	271507.1644
Serotonin	95698419.67	32492090.83	139504509.7	42045170.26	7141766.523	5344904.305	7225776.571	7386896.077
Sphingosine (d18:1)	8350596.199	7364300.714	13984882.09	8716293.108	13312274.73	7852015.105	11699186.01	19863155.22
N-Oleoyl Dopamine	64283880.34	51613883.73	52191357.67	131479520.7	225900.314	564205.6115	122757.4761	1034038.164
Methyl-2-hydroxyisobutyric acid	648284.1434	87320.64812	1239342.435	1084423.728	1433090.479	547987.4373	730054.2366	1707098.002
"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde"	1018564.112	892485.4461	1061703.21	14597015.4	6065496.192	6950416.435	15806921.71	8630304.617
trans-Aconitic acid	19332769.08	323313.3516	616267.133	728974.3628	563514.3192	228225.1651	1350671.053	474903.8465
4-Methylbenzotriazole	611178.803	3426001.881	453498.1535	1855151.564	2188103.47	2739513.706	1517936.034	516045.748
Choline	5290441441	2936532285	2340348138	2500074648	186340400.1	177636047.3	111166773.1	115979168
1-(4-benzylpiperazino)-2-(pyridin-2-ylamino)propan-1-one	2233613.091	1283146.325	11097398.42	5780282.629	7973423.911	723129.959	1208896.777	5125139.002
ACar 11:1	1998351.851	1198764.787	2638434.315	2052840.873	2783996.136	13428983.61	8837020.093	1443131.204
AcylGlcADG (14:0-18:1-14:0)	1397737.639	1591590.345	2136072.283	6021785.119	145870.5691	379727.0124	202857.7276	1186226.382
2-Methoxy-4-vinylphenol	605416.097	542865.9816	4361954.053	643624.5687	967021.78	2712191.005	1620878.288	558820.6045
Capric acid	478667.4815	389315.4541	6307237.214	4777282.183	312105.5612	239833.7525	425255.8908	416303.245
N-Acetylmannosamine	50790988.37	25561877.61	135935212.1	51209503.83	8158678.572	4000683.15	8593397.374	10954718.23
L-Glutamic acid monosodium salt	19340879.88	24289313.08	135872290.3	119655266.9	61275012.9	9915103.99	77480325.62	90569951.06
"7Z, 10Z, 13Z, 16Z, 19Z-docosapentaenoic acid"	762101.6558	285557.8783	2235457.966	1866059.583	614274.6458	802610.5929	310476653.5	1402484.969
"3-(2-fluorophenyl)-2-[(2-fluorophenyl)imino]-1,3-thiazolan-4-one"	1069058.391	714210.6395	1100880.234	1242613.108	442566312.1	192916969.8	33140358.36	18548645.49
2-Aminoacetophenone	93155872.61	56538982.09	142961822.7	128203177	22416243.14	37197382.18	65212407.6	24402871.81
4-Hydroxy-3-methoxymandelic acid	144073.2634	147365.0115	333256.7955	501239.168	3182748.14	2663839.816	1792657.54	270669.2339
Caffeine	4255287.689	2396589.644	2918005.459	2276238.277	7237446.681	22953127.91	20062391.64	9427595.701
Traumatic acid	1806517.364	1037619.125	16322447.12	2512737.639	2671192.36	3021444.995	2267521.33	3245180.206
2-Oxoglutaric acid	123751855.2	19609433.4	108411599.5	126409021.2	2839970.981	1888083.263	6246968.655	3413311.426
PEtOH (20:0-16:1)	181364.427	211073.8519	6122000.208	943319.5691	59125.81183	51459.22504	97285.67295	588618.1499
"2,8-Quinolinediol"	48678598.66	31571714.48	264678643.4	128302579.4	1101705441	600049189.9	799836781.1	1215918938
Betaine	897702803.6	2889108904	232713014.9	569581617.7	1192645421	501343521.7	1143362854	1148755492
gamma-Glutamylleucine	277456291.6	172663861.1	220313012.5	290999731.9	8106580.773	40902555.98	44683596.72	11394943.91
Neopterin	17624341.31	2413864.308	15962767.78	2567270.31	457818.0158	830744.7405	483168.7597	439528.9523
beta-Estradiol 17-Acetate	18190701.42	7224698.312	14987009.01	11956271.66	1301062.018	1578652.094	1515404.707	888251.164
4-oxododecanedioic acid	44371381.51	20526568.09	323794791.7	171691090	55497513	61391723.93	22027071.47	13774662.67
Saikosaponin C	536677.7321	271030.3109	761526.6669	361487.3337	432971.2875	308518.4016	624458.6731	511608.5185
1H-indene-3-carboxamide	18516818.93	4286776.491	10658024.37	6144599.25	12339230.76	11149243.9	7379647.147	11853391.57
"Glucuronic acid-3,6-lactone"	54700771.17	28297449.25	103384272.4	123387534.6	9101797.198	13796143.22	6186888.823	4956598.871
"4-decyl-3-hydroxy-5-oxooxolane-2,3-dicarboxylic acid"	469839.539	714950.2774	801834.1639	215197.7213	6069236.152	5176375.293	5995121.404	1025607.23
"3,4,5-trihydroxycyclohex-1-ene-1-carboxylic acid"	1495016.743	1155594.521	3490614.624	1229242.73	1753918.612	2498726.456	2802985.188	960457.8269
Glycoursodeoxycholic acid	220405438	35247646.45	121167617.1	91065186.26	164680471.7	1978659.219	9998001.973	105192445.7
Octanedioic acid	2056316.541	1196109.986	3243557.741	3041035.777	2139563.827	1464153.239	1788880.776	1986887.786
"Ergosta-5,7,9(11),22-Tetraen-3-beta-Ol"	11408294.8	2684673.487	15466427.93	9127622.976	3024201.057	1463282.716	2332959.989	5371023.494
Trenbolone acetate	1407152.593	8742612.965	1803110.944	1155574.472	923187.5593	538686.2345	1130241.385	848591.1376
"4-(3-methoxy-5,6-dihydrobenzo[c]acridin-7-yl)morpholine"	472081.0652	244302.2102	812557.9328	701743.7099	6237392.809	7599532.513	1934231.705	683439.6542
6-(Dimethylamino)purine	5745446.791	769818.1973	11115156.84	13707654.19	836590.6678	383736.3564	9410674.65	938699.2422
"3-Acetyl-2,5-dimethylfuran"	7470079.094	2315736.244	15307085.75	7951086.883	9234749.972	10895151.12	6333583.612	3835910.847
D-Ribose-1-phosphate	72377453.13	86022691.39	5803579.465	6224043.993	4574395.176	10468903.77	2275189.086	2935552.912
"2-Amino-1,3-octadecanediol"	89403819.18	39582411.02	114404719.7	44600183.72	15176060.02	146245731.2	13461715.34	14492765.38
Vitamin D3	2172203.671	830638.0387	11861074.36	13483296.86	3615546.046	1835641.615	1641708.451	4030718.362
(3-Methoxy-4-hydroxyphenyl)ethylene glycol sulfate	1460543.903	2864057.349	3888138.873	209297.1097	610484.7886	2413132.675	539785.6208	307189.2595
6-Sialyllactose	649217.7208	549450.9512	1782934.651	440327.1193	274847.0927	53658983.65	4279842.469	5870265.732
"3-(5,7-dimethoxy-4-oxo-4H-chromen-2-yl)propanoic acid"	7020753.194	1625509.289	14901661.93	2306256.808	896465.7836	1139568.837	806175.0597	613720.6227
L-Adrenaline	38466758.55	11188207.33	124940351.1	26086272.14	11307014.37	21817986.88	3169424.489	2296750.464
2-{2-[(1-methyl-1H-pyrazol-5-yl)amino]-2-oxoethoxy}acetic acid	2283457.777	684906.1106	2962230.765	1973808.51	3926817.78	11848474.92	1807540.602	1358976.191
Guggulsterone	2103074.194	1995221.379	14713491.09	2002322.755	4053441.38	1998947.185	12598799.74	6155324.934
Lysopa 16:0	16016095.93	2470341.275	14682418.26	4027719.615	711327.8085	598010.101	3037466.694	1182313.828
FAHFA (20:2/22:4)	1024407.85	2601336.447	158171.3825	5147446.712	45966.91305	33392.97325	46313.38547	47407.83568
5-amino-2-(dimethylamino)benzoic acid	1672795.562	582705.0996	14614555.23	9446973.169	1101275.24	283103.9001	1383071.802	1294545.654
Periplogenin	1250856.143	8236458.125	3235142.317	1276368.555	2195348.117	1320918.587	2225695.176	2402854.415
gamma-Tocopherol	2439705.903	1686477.847	3544571.054	6831796.346	7666789.481	1658684.265	3356228.713	16175928.19
TKK	2934749220	2629748563	2634872008	4265168103	2537407328	2850878836	2084220190	2316537170
Cannabigerol-d9	9800629.069	1847107.634	5481530.833	12912526.89	1724416.683	3835214.12	2240933.92	2279687.463
"4-(3,4-dimethoxyphenyl)-3-methyl-1H-pyrazol-5-amine"	7428559.994	1630816.611	8479828.905	3235364.524	2997311.026	1840192.546	1459151.422	2426267.297
Anthranilic acid	1949891.32	1315568.449	2999122.566	4641558.487	2174249.621	2299517.932	2301842.487	1491549.379
Kynurenic acid	6360538.424	3328744.235	21784879.86	13934150.14	107014879.4	31829146.2	51554220.35	110188926.5
7-Ketocholesterol	28568726.42	15276448.11	87781406.9	143515266.6	393366238.1	12133266.83	29690101.4	92790037.6
N-Acetylhistidine	3989231.922	1746988.197	6336939.472	1165964.04	6156429.094	5394015.062	2497907.262	2611264.563
"6-(7-methyloctyl)-1H,3H,4H,6H-furo[3,4-c]furan-1-one"	1529703.265	699203.1838	2988038.18	1424136.7	1869149.349	1065584.087	13438533.73	1047304.54
Lysopc 16:2 (2N Isomer)	5801638.46	8131930.986	1753395.839	3114884.464	1544135.684	895517.8332	610664.4701	1627178.34
Palmitoylethanolamide	2404930.29	2726192.197	14179213.09	12762189.45	821610.6906	971244.3916	1225295.168	1185138.294
"13,14-dihydro-15-keto-PGD2"	2440362.897	2112486.585	4053896.201	12699482.6	103362.6339	622478.7345	88576.644	508745.5219
17(S)-HpDHA	1124301.738	651036.8342	1667685.923	839999.1421	654124.004	477473.2853	1405330704	5291694.22
Anandamide (AEA)	12605384.33	5908890.906	9212790.777	12633594.85	436735.2781	742006.125	1443685.248	684315.422
1-Methyluric acid	83559.72071	325834.1964	630957.0953	1988312.186	2722965.071	1576214.494	831889.3727	4077128.584
Biopterin	9418517.355	1388435.528	28532451.74	9279928.208	4344287.158	5830492.751	14916571.83	8863599.762
2-Hydroxymyristic acid	4898624.173	2218837.427	1635293.232	4893011.707	1062548.537	596350.4071	634024.6288	1539228.981
L-(+)-Citrulline	75059052.58	29886221.68	133558265.1	258349855.6	7491502.014	3198189.631	71323072.17	22580510.58
FAHFA (20:1/22:3)	1346088.546	3481553.497	77518.78205	4049559.044	36837.08577	24284.8533	38603.15843	40317.60239
Equol	754957.5062	643605.308	1828394.944	556804.5134	1046905.152	327373.3959	540249.4619	5477531.835
Cer-BDS (d14:0/22:2)	164537.6741	73801.37148	788600.2703	102922.7776	62644.35951	443000.9525	65647.70487	170801.5505
LPC 18:2	993268.6389	1116816.572	1279498.371	548392.0035	3428638.936	1094279.269	20628859.43	22487521.99
ACar 20:0	7468600.711	7857782.155	1429895.158	2610490.987	226013.5561	83304.62823	158548.4144	221744.4587
"1-hydroxy-2-phenyl-1,5,6,7-tetrahydro-4H-benzimidazol-4-one"	15804500.54	3193309.551	11018427.91	5041996.424	3674497.296	1451984.741	1326096.824	2217110.674
ACar 20:6	961303.1982	358155.5966	1190206.469	291243.2235	347776.896	505028.3062	278881.8074	331269.1719
L-Saccharopine	2785188.832	1097104.772	2291361.708	572650.4667	1168800.014	1028905.053	4031631.049	4237668.087
(2E)-6-hydroxy-2-methyl-6-(4-methylphenyl)hept-2-enoic acid	7559793.377	3073635.547	13841887.8	6385096.814	3187216.137	2444680.956	2604937.287	1949633.41
Nicotinuric Acid	4040123.596	1665353.641	7023039.505	1253413.159	5657904.689	5223894.669	2388578.382	2494539.315
Υ-Aminobutyric acid (GABA)	110100258.9	78622274.07	67525874.75	74745035.29	3964855.553	3083513.486	15770731.2	14944616.54
FMH	144834507.5	50309664.72	238867112.2	255916960.8	30663292.62	14607307.73	4874900.66	3325497.779
R-1 Methanandamide phosphate	18500176.31	3147540.564	37920949.47	6291695.122	208513912.2	88720600.36	27598862.09	246545144.6
Tetradecanedioic acid	5171234.899	2829574.017	116335794.3	14976895.85	4348379.248	1248181.776	44789229.26	8121563.717
"2-(2,6-dimethoxyphenyl)-5,6-dimethoxy-4H-chromen-4-one"	9483737.949	1633004.866	13727712.28	2516574.898	1619662.873	682104.0403	1080589.313	961024.4612
SLK	15149857.43	7752884.37	8308869.843	4635159.262	2318351.247	1917799.922	6167088.855	8359312.308
Dodecanedioic acid	47403572.94	38082551.35	1707570977	574708943.2	191386236	6773394.395	135610808.7	202898800.4
HPH	924704.8645	512824.7689	2022307.246	686421.6048	3250027.191	5253091.103	2152838.697	276346.7623
"12,13-EODE"	24294358.55	17419595.5	28130691.48	15563584.54	241551193.3	139435572.2	156817732.7	156390173.9
RQH	5580135.754	2659056.105	8942076.98	4456651.043	2756809.849	3946517.957	2461403.239	1882108.25
Testosterone undecanoate	6583879.509	3513816.203	42354400.88	8891544.579	57755501.83	5698899.013	20457328.03	327687514.3
5-(acetylamino)-2-hydroxybenzoic acid	15431636	6188806.828	13398072.83	2586870.352	797063.022	788880.6271	2695465.819	3467645.711
Indole-3-acetic acid	20697266.51	8469496.168	31595355.35	35717576.02	120453445.6	57448355.21	254283212.3	187923196.3
FIBF-d7	5833810.334	1847342477	1077993934	115984803	5379902662	3735302136	3007741358	891315901
Cholic acid	209862244.4	7562496500	125007529.7	427262071.7	3933598245	356908860.2	285649845.3	4892281099
Ursodeoxycholic acid	787077641.8	6931834643	70391932.65	1446963616	3915544539	1985573789	967067630.5	5338194284
2-(acetylamino)-3-(1H-indol-3-yl)propanoic acid	35055303.64	6029451.329	25153610.48	12462412.87	95242817.02	45949313.54	5421450.828	15484767.78
Cytosine	897201.5112	477460.3218	702426.5229	655177.9821	5007352.285	10703582.05	441983.6825	1037365.102
"6,7,8-trimethoxy-2-(2-phenoxy-3-pyridyl)-4H-3,1-benzoxazin-4-one"	1282592.156	702601.8231	4059490.333	745040.7028	16762662.97	960532.4661	1289624.649	4159314.38
Pyrithioxin	4762697.559	1497796.461	2953872.661	11900486.3	2108443.706	1746255.68	801856.7188	1208326.928
Oleanolic acid	6282852.016	3245487.121	40427997.83	8176006.417	61664130.73	7946326.96	17098577.18	325181660.1
Monocrotaline	8704670.596	3772681.258	12288634.6	11333289.4	21048353.81	223670027.3	2358313.601	2117766.041
Octyl hydrogen phthalate	28667255.74	158374708.8	28099512.67	27529001.72	68250082.79	23473047.45	36764895	40858736.09
Caprolactam	81803801.9	20371723.88	62529854.46	99009966.37	27830575.61	24937785.34	28317292.09	53915839.89
"(3R)-8-hydroxy-3-(4-methoxyphenyl)-3,4-dihydro-1H-2-benzopyran-1-one"	7569191.524	1805960.128	13243601.49	8859687.763	903783.9389	508152.4374	462879.4071	578092.636
2-(1H-indol-3-yl)acetic acid	22484463.8	8601321.464	36597062.49	12542908.96	118921809.2	59620982.24	249643765.5	183496656.8
Uridine	49053029.07	20634496.02	84690569.25	45776664.01	1417766.947	2609078.149	89657592.62	1261682.531
N-Acetylneuraminic acid	317850156	127299794.1	255685573	140485436.4	20315899.64	7309628.638	43153854.29	16594070.91
RNK	1221971.998	636587.4589	1820219.159	1762419.913	1282776	892894.1688	12290980.01	1288456.75
LPE 11:0	455902.3605	210289.0674	4760659.767	313782.5954	246048.7997	226943.086	468994.4258	330511.7694
dihydrotachysterol	3964251.665	1226088.221	13096759.39	7436318.165	5628676.266	1805374.526	3555851.66	11454879.05
N-{6-[(7-chloro-4-quinazolinyl)oxy]-3-pyridinyl}-4-methoxybenzamide	611002.3187	5633105.866	2027033.521	26574246.05	55532461.62	47949315.85	605408.6421	505901.0279
2-{1-[2-(4-benzhydrylpiperazino)-2-oxoethyl]cyclopentyl}acetic acid	21589708.9	10244154.69	20568339.58	105768016.3	1754924.218	2070781.731	3565359.446	2205674.825
Indole	90041042.17	53012590.03	136815430.5	124988857	25026295.29	32935416.58	58812447.57	20350712.38
Isobutyryl carnitine	8428488.59	1695125.146	13017527.98	4651687.561	1237370.217	1470619.622	797929.1813	1123067.993
"3-pentadecyl-4,5,6,7-tetrahydrobenzo[d]isoxazol-4-one oxime"	1424950.9	717686.331	1845183.152	2024015.885	16225603.24	4186586.972	16522862.94	37892737.88
9-Oxo-ODE	153231121.2	51533314.52	138828315	53641928.2	608965208.8	515991098	1171098554	375329803.4
5-amino-3-(cyanomethyl)-1-methyl-1H-pyrazole-4-carbonitrile	623810.392	777385.4177	257540.5185	334285.4536	581991.8336	773502.0372	102236.3041	99127.56592
"2,4-dihydroxyheptadec-16-en-1-yl acetate"	105533656.8	61571202.01	10032468.22	4711458.127	24853151.12	219639751.7	61778331.89	14368994.31
9(S)-HOTrE	6165315.256	1353463.777	12863484.83	5680054.255	2421142.594	2237565.905	1402670.226	1564228.702
Pyridoxamine	111317922.8	84192751.15	46640572.04	245013623.9	10132139.9	14719875.98	37132370.63	5382402.481
Choline Glycerophosphate	14626485.51	4328338.77	3089284.31	1747697.357	952516.0117	1103419.601	1283590.626	863204.5464
O1-[4-(tert-butyl)benzoyl]-2-(tert-butylsulfonyl)ethanehydroximamide	2215239.122	37074383.91	3698282.218	139075653	144605166.7	672277478.6	4538111.19	912545.1652
N1-(2-amino-2-oxoethyl)-2-(isopropylthio)acetamide	2496163.225	1023364.432	7807252.73	7054329.025	5744591.763	10219012.38	1854006.732	755632.5335
2-(acetylamino)-4-(methylthio)butanoic acid	37245386.3	74575091.56	57298393.47	39717702.34	13262437.04	4530766.762	3803133.348	7569455.578
L-Fucose	1561893.325	1031778.37	1465978.723	28400555.01	83031663.84	92786335.56	5028289.988	45069105.52
