In-TC-vs-Ex-TC	In-TC-vs-QY	Ex-TC-vs-QY
TRIM27.1	LOC112531135	
BG-like-antigen-1	LOC121107865	
LOC121106935	LOC100859740	
LOC121106957	LOC121107930	
LOC107049645	LOC112531397	
LOC112531351	LOC107049925	
NPDC1	LOC121107965	
LOC101748065	LOC121107973	
BRINP1	LOC121108016	
ENG	LOC121108025	
FPGS	LOC121108049	
SH2D3C	NR4A1	
PKN3	GRASP	
IER5L	ACVRL1	
LOC107052204	ANKRD33	
GFI1B	RAPGEF3	
EGFL7	TNS2	
NOTCH1	PMEL	
B3GNT10	IL23A	
OLFML2A	LOC100859726	
LOC427799	GPR182	
RHBDF2	LOC426897	
SPHK1	LOC107050879	
GALR2	LOC121108145	
LOC121107146	LOC121108155	
CA10	LOC121108165	
TMEM100	OTX5	
PECAM1	LOC107050328	
ABCA8	LOC121108229	
KCNJ2	LOC121108243	
LOC422075	LOC121108246	
AATK	LOC101751186	
LOC121107135	AQP3	
CYTH1	ENHO	
TMC6	AVD	
TOB1	NPR3	
EPN3	RXFP3	
CASKIN2	ESM1	
LOC112530066	SV2C	
TMEM132E	FOXD1	
SCARF1	PTCD2	
RTN4RL1	ACER2	
LOC107054798	GADD45G	
PROCA1	LOC121108298	
SEZ6	CHRNA6	
RAP1GAP2	LPL	
LOC100857331	RFESD	
GDAP1L1	ANKRD34B	
SLC13A3	ALDOB	
SULF2	LOC121106434	
EPB42	SLC46A2	
SLCO4A1	LOC112530683	
NKAIN4	KIAA0368	
CHRNA4	PTGR1	
EEF1A2	HEMGN	
SOX18	SEMA6A	
LOC100858256	LOC121108295	
STMN3	LOC107050652	
TCF15	LOC112531394	
ID1	LOC112531409	
CCM2L	LOC107050249	
HCK	LOC107051372	
TNNC2	LOC107049779	
LOC107054849	LOC107050233	
PADI1	LOC107049108	
UTS2	LOC112531381	
PLEKHG5	LOC121108718	
LOC121107363	LOC121108725	
TNFRSF25	LOC121108719	
LOC107054916	LOC121108733	
LOC771069	LOC121108741	
ACAP3	LOC121108853	
SST7	LOC121106549	
EPHA2	LOC121108855	
AGMAT	LOC121108870	
DISP3	LOC107050463	
ECE1	LOC112530947	
LOC112530142	LOC121108868	
NEFL	LOC112530174	
NEFM	LOC121106430	
SLC25A37	MHCY13	
TNFRSF10B	LOC769366	
DMTN	LOC121108943	
PRLHRL	LOC121109239	
LOC117654556		
ADRB3		
STAR		
C8orf4		
ANK1		
LOC107049953		
SLC4A5		
TSPAN15L		
TACR1		
GMCL1		
HK2		
ADD2		
SDC3		
EDN2		
LOC101751112		
GBP1		
LOC121107469		
FGR		
SESN2		
RHCE		
CTGFL		
EPB41		
EXTL1		
LOC426743		
LOC100859615		
GJA4		
TINAGL1		
TSSK3		
ZBTB8AL		
ROBO4		
ROBO3		
ESAM		
NRGN		
LOC121107514		
LOC101751717		
TTC36		
HTR3A		
APOA1		
LOC101748017		
PEAR1		
NHLH1		
LOC431313		
LOC408038		
S100A14		
LOC107055115		
IL6R		
SHE		
LOC112530288		
LOC121107588		
MCL1		
LOC770126		
FCRL4		
ACKR1		
MPZ		
APOA2		
ADAMTS4		
CTSK		
SEMA6C		
TMOD4		
THEM4		
PFDN2		
TULP1		
FKBP5		
CLPS		
LHFPL5		
LRRN2		
CNTN2		
MFSD4A		
CD55		
CD34		
SLC16A1		
LOC428291		
LOC107055259		
DBF4B		
GFAP		
C1QL1		
PLCD3		
CRHR1		
LOC425470		
ACE		
RUNDC3A		
SLC4A1		
LOC107049570		
PHOSPHO1		
ABI3		
GNGT2		
HOXB13		
HOXB8		
HOXB7		
HOXB1		
LRRC3C		
ORMDL3		
CSF3		
RAPGEFL1		
HCRT		
PIBPPDD4L		
ATP6V0A1		
FAM134C		
RAMP2		
VPS25		
WNK4		
LOC101748894		
LOC101750889		
LOC112529960		
2-Mar		
ANGPTL4		
LOC107055327		
PLPP2		
LOC100858579		
ADAMTS10		
SHC2		
BSG		
HCN2		
MISP		
R3HDM4		
LOC121107750		
DIRAS1		
LOC100859819		
KCNN1		
OCLN		
USHBP1		
LOC112530451		
PLVAP		
ISYNA1		
ARRDC2		
CCDC130		
ACP5		
LOC107049412		
LOC100859870		
LOC112531107		
LOC107049973		
LOC121107862		
LOC121107894		
LOC112531135		
LOC112531119		
LOC121107865		
LOC100857964		
LOC100859740		
LOC121107930		
LOC112531397		
LOC121107965		
LOC121107973		
LOC112530835		
LOC121108016		
LOC121108025		
LOC121108049		
LOC107050029		
NCKAP5L		
NR4A1		
GRASP		
ACVRL1		
RAPGEF3		
ITGA5		
TNS2		
DHH		
PMEL		
IL23A		
RDH16		
LOC100859726		
GPR182		
ZBTB39		
LOC426897		
CSRNP2		
LOC121108145		
LOC121108153		
LOC121108155		
LOC121108165		
LOC107055390		
SYCN		
OTX5		
LOC107050328		
FBXO46		
SCYL1		
HINTW		
LOC121108202		
LOC121108201		
LOC112530489		
LOC121108243		
LOC121108246		
LOC101751186		
AQP3		
LOC121108602		
AVD		
CA9		
ARHGEF39		
NPR3		
RXFP3		
ESM1		
RAB3C		
F2R		
SV2C		
FOXD1		
ACER2		
LOC121108597		
NXNL2		
LOC121108298		
IDUA		
CHRNA6		
LPL		
PCSK1		
RFESD		
LOC768418		
LOC121106434		
SLC46A2		
LOC112530683		
TEK		
HEMGN		
SEMA6A		
LOC121108295		
LOC107050652		
LOC112531394		
LOC112531409		
LOC107050249		
LOC107051372		
LOC107049779		
LOC107049108		
LOC112531381		
LOC121108718		
LOC107050768		
LOC121108719		
LOC121108741		
LOC121108762		
LOC121108853		
LOC121106549		
LOC121108855		
LOC121108870		
LOC121108868		
LOC101750376		
MGAM		
ACHE		
PFKFB1		
LOC112530174		
LOC121108923		
LOC121108934		
LOC121108936		
LOC121106430		
MHCY13		
